Workout Type,Day of the Week,Date,Start Time,End Time,Duration (min),Active Energy (kcal),Avg Heart Rate (bpm),Step Count (count)
Functional Strength Training,Wednesday,"Wednesday, October 12, 2022",4:34 PM,5:42 PM,68.23,424.87,120.05,1385
Functional Strength Training,Monday,"Monday, October 10, 2022",4:38 PM,5:44 PM,65.35,325.12,113.68,1725
Functional Strength Training,Saturday,"Saturday, October 8, 2022",11:42 AM,12:49 PM,66.43,407.72,121.32,1428
Functional Strength Training,Tuesday,"Tuesday, October 4, 2022",4:39 PM,5:44 PM,65.45,371.46,113.06,1650
Functional Strength Training,Monday,"Monday, October 3, 2022",4:37 PM,5:34 PM,57,285.51,107.18,1190
Functional Strength Training,Saturday,"Saturday, October 1, 2022",11:50 AM,12:56 PM,65.22,333.31,110.45,1187
Functional Strength Training,Thursday,"Thursday, September 29, 2022",4:27 PM,5:24 PM,57.12,323.75,116.03,1358
Functional Strength Training,Wednesday,"Wednesday, September 28, 2022",4:25 PM,5:16 PM,50.48,281.98,111.8,668
Functional Strength Training,Monday,"Monday, September 26, 2022",4:33 PM,5:41 PM,54.77,293.12,114.98,1342
Functional Strength Training,Saturday,"Saturday, September 24, 2022",11:17 AM,12:22 PM,64.43,330.42,112.33,1315
Functional Strength Training,Thursday,"Thursday, September 22, 2022",4:25 PM,5:39 PM,74.52,422.15,117.21,1177
Functional Strength Training,Tuesday,"Tuesday, September 20, 2022",4:38 PM,5:48 PM,69.72,379.9,111.84,1304
Functional Strength Training,Monday,"Monday, September 19, 2022",4:16 PM,5:20 PM,64.05,318.62,111.56,1545
Functional Strength Training,Saturday,"Saturday, September 17, 2022",11:40 AM,12:41 PM,60.82,313.72,111.65,1249
Functional Strength Training,Thursday,"Thursday, September 15, 2022",4:43 PM,5:40 PM,57.67,316.83,114.73,1152
Functional Strength Training,Tuesday,"Tuesday, September 13, 2022",4:39 PM,5:37 PM,58.03,313.37,111.27,1324
Functional Strength Training,Monday,"Monday, September 12, 2022",4:53 PM,5:51 PM,57.7,329.14,119.29,1475
Functional Strength Training,Saturday,"Saturday, September 10, 2022",11:28 AM,12:41 PM,72.83,325.84,104.09,1387
Functional Strength Training,Wednesday,"Wednesday, September 7, 2022",4:28 PM,5:15 PM,46.78,283.77,119.42,1278
Functional Strength Training,Tuesday,"Tuesday, September 6, 2022",4:48 PM,5:47 PM,58.9,357.44,122.01,1304
Functional Strength Training,Monday,"Monday, September 5, 2022",11:35 AM,12:40 PM,64.9,330.78,116,1527
Walking,Wednesday,"Wednesday, August 24, 2022",7:30 PM,8:26 PM,28.7,87.36,101.84,1521
Functional Strength Training,Tuesday,"Tuesday, August 23, 2022",4:42 PM,5:50 PM,67.42,327.35,108.61,1423
Functional Strength Training,Monday,"Monday, August 22, 2022",5:01 PM,5:58 PM,57.12,371.21,124.99,1129
Walking,Sunday,"Sunday, August 21, 2022",7:17 PM,7:42 PM,24.63,82.7,98.44,1610
Functional Strength Training,Saturday,"Saturday, August 20, 2022",11:15 AM,12:17 PM,62.57,311.96,111.58,1086
Walking,Friday,"Friday, August 19, 2022",7:20 PM,7:45 PM,24.23,71.18,103.53,1530
Functional Strength Training,Thursday,"Thursday, August 18, 2022",4:51 PM,5:42 PM,51.38,337.01,129.62,1294
Walking,Wednesday,"Wednesday, August 17, 2022",5:33 PM,5:57 PM,24.77,80.09,110.41,1569
Functional Strength Training,Tuesday,"Tuesday, August 16, 2022",4:41 PM,5:43 PM,61.63,391.16,132.37,1390
Functional Strength Training,Monday,"Monday, August 15, 2022",4:45 PM,5:39 PM,53.77,408.39,137.91,699
Walking,Sunday,"Sunday, August 14, 2022",7:38 PM,8:02 PM,24.53,84.29,110.49,1389
Functional Strength Training,Tuesday,"Tuesday, August 9, 2022",4:29 PM,5:39 PM,69.77,439.87,131.56,1259
Functional Strength Training,Monday,"Monday, August 8, 2022",4:29 PM,5:24 PM,55.08,347.16,130.09,1256
Walking,Sunday,"Sunday, August 7, 2022",7:38 PM,8:02 PM,23.53,76.46,102.23,1644
Functional Strength Training,Saturday,"Saturday, August 6, 2022",11:36 AM,12:36 PM,59.9,388.02,129.47,993
Walking,Thursday,"Thursday, August 4, 2022",7:15 PM,7:39 PM,23.68,84.09,109.12,1451
Functional Strength Training,Thursday,"Thursday, August 4, 2022",10:12 AM,11:26 AM,74.62,513.75,137.3,1924
Walking,Wednesday,"Wednesday, August 3, 2022",7:45 PM,8:07 PM,21.63,81.96,107.38,1378
Walking,Tuesday,"Tuesday, August 2, 2022",6:48 PM,7:16 PM,28.45,82.08,98.78,1323
Functional Strength Training,Tuesday,"Tuesday, August 2, 2022",11:49 AM,1:35 PM,105.4,567.56,116.69,1363
Walking,Monday,"Monday, August 1, 2022",7:26 PM,7:49 PM,23.05,83.94,104.62,1523
Functional Strength Training,Monday,"Monday, August 1, 2022",11:56 AM,12:58 PM,61.42,311.68,114.95,947
